tic,date,ajexdi,price,gvkey
REMX,12/29/2022,1,76.12,185808
REMX,12/30/2022,1,76.16,185808
REMX,1/3/2023,1,74.69,185808
REMX,1/4/2023,1,77.35,185808
REMX,1/5/2023,1,77.95,185808
REMX,1/6/2023,1,82.59,185808
REMX,1/9/2023,1,83.46,185808
REMX,1/10/2023,1,83.78,185808
REMX,1/11/2023,1,86.18,185808
REMX,1/12/2023,1,88.46,185808
REMX,1/13/2023,1,87.62,185808
REMX,1/17/2023,1,87.03,185808
REMX,1/18/2023,1,86.43,185808
REMX,1/19/2023,1,86.87,185808
REMX,1/20/2023,1,89.71,185808
REMX,1/23/2023,1,92.84,185808
REMX,1/24/2023,1,93.69,185808
REMX,1/25/2023,1,94.99,185808
REMX,1/26/2023,1,96.33,185808
REMX,1/27/2023,1,95.9,185808
REMX,1/30/2023,1,94.7,185808
REMX,1/31/2023,1,95.26,185808
REMX,2/1/2023,1,97.48,185808
REMX,2/2/2023,1,97.06,185808
REMX,2/3/2023,1,93.6,185808
REMX,2/6/2023,1,91.1,185808
REMX,2/7/2023,1,92.67,185808
REMX,2/8/2023,1,92.05,185808
REMX,2/9/2023,1,90.45,185808
REMX,2/10/2023,1,88.86,185808
REMX,2/13/2023,1,89.85,185808
REMX,2/14/2023,1,90.15,185808
REMX,2/15/2023,1,89.66,185808
REMX,2/16/2023,1,88.22,185808
REMX,2/17/2023,1,85.48,185808
REMX,2/21/2023,1,85.32,185808
REMX,2/22/2023,1,84.07,185808
REMX,2/23/2023,1,85.23,185808
REMX,2/24/2023,1,84.48,185808
REMX,2/27/2023,1,85.19,185808
REMX,2/28/2023,1,84.87,185808
REMX,3/1/2023,1,87.13,185808
REMX,3/2/2023,1,85,185808
REMX,3/3/2023,1,87.58,185808
REMX,3/6/2023,1,85.33,185808
REMX,3/7/2023,1,81.98,185808
REMX,3/8/2023,1,82.54,185808
REMX,3/9/2023,1,81.1,185808
REMX,3/10/2023,1,78.92,185808
REMX,3/13/2023,1,77.74,185808
REMX,3/14/2023,1,77.78,185808
REMX,3/15/2023,1,73.98,185808
REMX,3/16/2023,1,75.06,185808
REMX,3/17/2023,1,74.72,185808
REMX,3/20/2023,1,75.57,185808
REMX,3/21/2023,1,76.92,185808
REMX,3/22/2023,1,75.91,185808
REMX,3/23/2023,1,74.75,185808
REMX,3/24/2023,1,75.21,185808
REMX,3/27/2023,1,75.43,185808
REMX,3/28/2023,1,79.96,185808
REMX,3/29/2023,1,81.18,185808
REMX,3/30/2023,1,81.97,185808
REMX,3/31/2023,1,81.58,185808
REMX,4/3/2023,1,82.39,185808
REMX,4/4/2023,1,79.96,185808
REMX,4/5/2023,1,79.34,185808
REMX,4/6/2023,1,78.66,185808
REMX,4/10/2023,1,79.04,185808
REMX,4/11/2023,1,80.2,185808
REMX,4/12/2023,1,80,185808
REMX,4/13/2023,1,81.88,185808
REMX,4/14/2023,1,82.32,185808
REMX,4/17/2023,1,83.02,185808
REMX,4/18/2023,1,83.43,185808
REMX,4/19/2023,1,82.71,185808
REMX,4/20/2023,1,80.13,185808
REMX,4/21/2023,1,78.89,185808
REMX,4/24/2023,1,80.01,185808
REMX,4/25/2023,1,76.99,185808
REMX,4/26/2023,1,77.31,185808
REMX,4/27/2023,1,78.45,185808
REMX,4/28/2023,1,79.51,185808
